中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
13.250.22.76,443,2406:da18:618:7e00:ce20:ada8:8c3b:960a,SG,Singapore,隧道,170 ms,3 Mbps,433 kB/s
54.92.11.19,443,2406:da14:6a2:2e00:8ef4:430d:7f05:cc20,JP,Tokyo,隧道,141 ms,5 Mbps,697 kB/s
13.127.95.206,443,13.127.95.206,IN,Mumbai,中转,229 ms,69 Mbps,8944 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,157 ms,133 Mbps,17100 kB/s
8.219.103.126,443,8.219.103.126,SG,Singapore,中转,254 ms,53 Mbps,6827 kB/s
47.236.130.95,443,47.236.130.95,SG,Singapore,中转,254 ms,52 Mbps,6725 kB/s
47.236.121.7,443,47.236.121.7,SG,Singapore,中转,253 ms,49 Mbps,6346 kB/s
47.236.112.218,443,47.236.112.218,SG,Singapore,中转,254 ms,24 Mbps,3111 kB/s
8.219.179.34,443,8.219.179.34,SG,Singapore,中转,255 ms,57 Mbps,7394 kB/s
8.219.137.50,443,8.219.137.50,SG,Singapore,中转,258 ms,58 Mbps,7489 kB/s
8.219.201.245,443,8.219.201.245,SG,Singapore,中转,254 ms,49 Mbps,6290 kB/s
8.222.205.210,443,8.222.205.210,SG,Singapore,中转,254 ms,46 Mbps,5891 kB/s
8.219.240.160,443,8.219.240.160,SG,Singapore,中转,256 ms,54 Mbps,6964 kB/s
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,254 ms,45 Mbps,5831 kB/s
47.236.87.206,443,47.236.87.206,SG,Singapore,中转,249 ms,45 Mbps,5794 kB/s
8.219.170.180,443,8.219.170.180,SG,Singapore,中转,251 ms,46 Mbps,5938 kB/s
47.236.12.195,443,47.236.12.195,SG,Singapore,中转,254 ms,45 Mbps,5872 kB/s
47.245.115.6,443,47.245.115.6,SG,Singapore,中转,254 ms,45 Mbps,5844 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,164 ms,3 Mbps,461 kB/s
204.110.220.3,443,204.110.220.131,US,,隧道,57 ms,358 Mbps,45875 kB/s
8.219.228.186,443,8.219.228.186,SG,Singapore,中转,249 ms,53 Mbps,6828 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,254 ms,53 Mbps,6824 kB/s
18.191.122.211,443,3.130.64.226,US,,隧道,69 ms,13 Mbps,1783 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,20 ms,848 Mbps,108544 kB/s
3.145.83.179,443,3.145.83.179,US,,中转,70 ms,276 Mbps,35328 kB/s
34.150.180.124,443,34.150.180.124,US,,中转,65 ms,353 Mbps,45260 kB/s
129.151.152.254,443,129.151.152.254,AE,Amsterdam,中转,251 ms,19 Mbps,2502 kB/s
35.183.163.195,443,35.182.64.99,CA,,隧道,98 ms,264 Mbps,33792 kB/s
18.130.168.34,443,18.130.168.34,GB,,中转,147 ms,130 Mbps,16691 kB/s
18.159.105.97,443,3.68.128.205,DE,,隧道,159 ms,117 Mbps,15052 kB/s
124.156.202.172,443,124.156.202.172,SG,,中转,168 ms,88 Mbps,11366 kB/s
13.59.65.96,443,13.59.65.96,US,,中转,125 ms,329 Mbps,42188 kB/s
